Address,Quantity,Percentage
0x3f19c1407a10041e7ff0dd92d1b4d308c149e146,1980,0.00%
0xd1679fc350a598375086ff1035751e61062aa66f,1977,0.00%
0x0b1dde618d8be2011cac04c6c926ecea999f7536,1977,0.00%
0x27d96c2b5f08c4d623d7639aaacd948a7dc077ab,1977,0.00%
0xa5a08199a5015f1c8dd5c1beda14caf80bea66bb,1902,0.00%
0xd25ba01ce71df0e2dc20ca8486d15f66bd78e8e0,1884,0.00%
0xcdf6d7c26bcc32fa60caf435c29b124b430ee023,1884,0.00%
0x8895a496ba553aea41ae3bd92fbc0e9b8c77809f,1884,0.00%
0x8a5df1dffc516fdb7212320f94343542240c403b,1884,0.00%
0x1a7f8f7a92e75e8f047565026a0c6502366b0c9a,1884,0.00%
0xd23701ab4ce184fa7773381a30c05ee3914ac163,1884,0.00%
0x58f5062e614b32d2ab6229cf9fd54e1a5e272d14,1884,0.00%
0x0969e16ba1a186180dc02e06db7e079f97000f21,1500,0.00%
0x2bc5bc932fda2f003be277492ea121d6f25be42c,1350,0.00%
0xa4bc7a39722787f64125ba3ea6855a0898797b61,1319,0.00%
0x12590f86cdaf9f5f65b898b586f882af0b051e35,1250,0.00%
0xdd2d5f858f8291dd80609de1381d363d15178eb9,1249,0.00%
0xfb74cd9420d4aa084dde1e19353d54ae9b60c77d,1249,0.00%
0xa05d73871e17af3f239694ea52727be8ba79aa7c,1114.8941,0.00%
0x7fa391458ebf68828267a24dba6683ccab4133fc,1000,0.00%
0xec169d7079562a3b95fd5d0dc13ce93575adec27,1000,0.00%
0xc2767a2156af599a6bd525c01f541f9fdc495b0e,710,0.00%
0xc2d27a31aa0964d83d91dfedac23a31bcfe41f55,700,0.00%
0x0528208be35352d2e8cc7e02f622fde67cf7fb2f,675,0.00%
0x22da0d7b76d3733f72d0cc59004e5a12357795f8,666,0.00%
0x0da4bb40fef0a19bb580260ae790b8979f15f3b8,636,0.00%
0xa4303213a64b5a1a35b64875c1f8230afaccdaf4,636,0.00%
0x3a2d3e2dbff07d368007bf3fb5c56757daec254c,310,0.00%
0xd17711e9bd168f1651d28255fa5d5737cdaebe39,262.8694,0.00%
0xcf4f49714b28dc00187cddbb28ad248cb3549a7d,86,0.00%
0x925119301c9c68cb820cd135ff2dcd1ca7839eac,75.50996,0.00%
0x054b7acb5ae345584ee25df3e75973f1caca575b,62,0.00%
0x9a10cb9e3cc04edca4aec55fed49f14493edef07,30,0.00%
0x2eb28a790eb8ba01490a3afc8f7e927fbc9267fd,10,0.00%
0xddea10837773a0efa3ffadc1cf388c475a003baf,10,0.00%
0x8ecdd35b5d25e0a1e94adfb9659a5a36a0529404,5,0.00%
0xb71ecef7cd91812270d71da3e0811be75e8b6182,1.07,0.00%
0x17bc58b788808dab201a9a90817ff3c168bf3d61,1,0.00%
0x2ec277574df7a73802a7dc4b97afc34171129c98,0.8,0.00%
0xa10ba140d6e4e331d7df272de90d41477f7f386d,0.63,0.00%
0x9e4c85b119c8169f0999c0b013fb07130b926cfc,0.5,0.00%
0xaa9354d214a45d1cb0a2332a3497291e98d44473,0.5,0.00%
0xa395562ece9958cb4c227251c5c2af12999f5170,0.42985049,0.00%
0x02118ab52e23b5586bcb986b8422606556e9cd11,0.095,0.00%
0xe844d7ded1f31d6a7a8a43f7c5a58df045c075c8,0.005,0.00%
